item_id,section,critical,speakers,complement
t23_c3,term,n,s02|s04|s05,s01|s03|s06
t24_c1,term,n,s04|s05|s06,s01|s02|s03
t24_c2,term,n,s03|s04|s06,s01|s02|s05
t24_c3,term,n,s01|s02|s03,s04|s05|s06
t25_c1,term,y,s01|s02|s03|s04|s05|s06,
t25_c2,term,y,s01|s02|s03|s04|s05|s06,
t25_c3,term,y,s01|s02|s03|s04|s05|s06,
t26_c1,term,n,s03|s04|s05,s01|s02|s06
t26_c2,term,n,s04|s05|s06,s01|s02|s03
t26_c3,term,n,s01|s03|s04,s02|s05|s06
t27_c1,term,n,s03|s05|s06,s01|s02|s04
t27_c2,term,n,s02|s04|s06,s01|s03|s05
t27_c3,term,n,s01|s03|s04,s02|s05|s06
t28_c1,term,n,s01|s02|s06,s03|s04|s05
t28_c2,term,n,s02|s04|s05,s01|s03|s06
t28_c3,term,n,s02|s03|s06,s01|s04|s05
t29_c1,term,n,s01|s02|s04,s03|s05|s06
t29_c2,term,n,s02|s03|s06,s01|s04|s05
t29_c3,term,n,s01|s03|s04,s02|s05|s06
t30_c1,term,n,s01|s02|s05,s03|s04|s06
t30_c2,term,n,s01|s03|s06,s02|s04|s05
t30_c3,term,n,s02|s03|s05,s01|s04|s06
e01_c1,entity,n,s03|s04|s05,s01|s02|s06
e01_c2,entity,n,s01|s02|s05,s03|s04|s06
e02_c1,entity,n,s01|s03|s05,s02|s04|s06
e02_c2,entity,n,s02|s03|s06,s01|s04|s05
e03_c1,entity,n,s03|s04|s05,s01|s02|s06
e03_c2,entity,n,s01|s03|s04,s02|s05|s06
e04_c1,entity,n,s01|s03|s06,s02|s04|s05
e04_c2,entity,n,s01|s02|s05,s03|s04|s06
e05_c1,entity,n,s02|s03|s05,s01|s04|s06
e05_c2,entity,n,s01|s02|s06,s03|s04|s05
e06_c1,entity,n,s02|s04|s06,s01|s03|s05
e06_c2,entity,n,s02|s05|s06,s01|s03|s04
e07_c1,entity,n,s02|s03|s05,s01|s04|s06
e07_c2,entity,n,s01|s04|s05,s02|s03|s06
e08_c1,entity,n,s01|s02|s06,s03|s04|s05
e08_c2,entity,n,s02|s04|s05,s01|s03|s06
e09_c1,entity,n,s01|s05|s06,s02|s03|s04
e09_c2,entity,n,s02|s03|s06,s01|s04|s05
e10_c1,entity,n,s01|s02|s03,s04|s05|s06
e10_c2,entity,n,s03|s04|s06,s01|s02|s05
e11_c1,entity,n,s04|s05|s06,s01|s02|s03
e11_c2,entity,n,s02|s05|s06,s01|s03|s04
e12_c1,entity,n,s01|s03|s04,s02|s05|s06
e12_c2,entity,n,s01|s02|s04,s03|s05|s06
e13_c1,entity,n,s02|s04|s05,s01|s03|s06
e13_c2,entity,n,s03|s05|s06,s01|s02|s04
e14_c1,entity,n,s02|s03|s04,s01|s05|s06
e14_c2,entity,n,s04|s05|s06,s01|s02|s03
e15_c1,entity,n,s03|s04|s06,s01|s02|s05
e15_c2,entity,n,s03|s05|s06,s01|s02|s04
e16_c1,entity,n,s01|s04|s06,s02|s03|s05
e16_c2,entity,n,s01|s03|s05,s02|s04|s06
e17_c1,entity,n,s01|s04|s05,s02|s03|s06
e17_c2,entity,n,s01|s03|s06,s02|s04|s05
e18_c1,entity,n,s02|s03|s04,s01|s05|s06
e18_c2,entity,n,s02|s04|s06,s01|s03|s05
e19_c1,entity,n,s01|s02|s04,s03|s05|s06
e19_c2,entity,n,s01|s04|s06,s02|s03|s05
e20_c1,entity,n,s01|s02|s03,s04|s05|s06
e20_c2,entity,n,s01|s05|s06,s02|s03|s04
a01,amount,n,s03|s04|s06,s01|s02|s05
a02,amount,n,s03|s05|s06,s01|s02|s04
a03,amount,n,s04|s05|s06,s01|s02|s03
a04,amount,n,s01|s02|s03,s04|s05|s06
a05,amount,n,s01|s05|s06,s02|s03|s04
a06,amount,n,s02|s03|s04,s01|s05|s06
a07,amount,n,s02|s03|s05,s01|s04|s06
a08,amount,n,s01|s02|s04,s03|s05|s06
a09,amount,n,s01|s04|s06,s02|s03|s05
a10,amount,n,s01|s02|s05,s03|s04|s06
d01,date,n,s01|s03|s04,s02|s05|s06
d02,date,n,s02|s04|s06,s01|s03|s05
d03,date,n,s01|s03|s06,s02|s04|s05
d04,date,n,s01|s02|s06,s03|s04|s05
d05,date,n,s02|s04|s05,s01|s03|s06
d06,date,n,s03|s04|s05,s01|s02|s06
d07,date,n,s01|s03|s05,s02|s04|s06
d08,date,n,s02|s05|s06,s01|s03|s04
d09,date,n,s02|s03|s06,s01|s04|s05
d10,date,n,s01|s04|s05,s02|s03|s06
q01,question,n,s01|s02|s03,s04|s05|s06
q02,question,n,s01|s02|s04,s03|s05|s06
q03,question,n,s04|s05|s06,s01|s02|s03
q04,question,n,s02|s03|s04,s01|s05|s06
q05,question,n,s02|s03|s05,s01|s04|s06
q06,question,n,s01|s05|s06,s02|s03|s04
q07,question,n,s03|s05|s06,s01|s02|s04
q08,question,n,s01|s04|s06,s02|s03|s05
q09,question,n,s03|s04|s06,s01|s02|s05
q10,question,n,s01|s02|s05,s03|s04|s06
